match_date_,Home team,Away team,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,competition,round_stage,pkey,home_score,away_score,score_diff,home_pack_weight,away_pack_weight,home_forwards_ages,home_backs_ages,away_forwards_ages,away_backs_ages
2022-03-13,LIONS,CARDIFF,4.0,80_1_13_21,2.0,43_30,3.0,8_47_57,2.0,5_11,4.0,3_14_22_83,2.0,31_44,urc,pool stage,LIONS_CARDIFF_2022-03-13,37,20,17,924,910,26,24,28,27
2022-03-13,CLERMONT,BORDEAUX,1.0,48,3.0,24_75_20,5.0,5_23_37_57_61,3.0,12_16_55,1.0,49,1.0,76,top-14,pool stage,CLERMONT_BORDEAUX_2022-03-13,29,26,3,911,951,27,26,28,26
2022-03-18,GLASGOW,EDINBURGH,3.0,8_28_55,2.0,13_47,3.0,39_64_71,1.0,34,3.0,9_29_57,2.0,14_48,urc,pool stage,GLASGOW_EDINBURGH_2022-03-18,30,17,13,905,896,28,25,26,26
2022-03-18,BULLS,SCARLETS,9.0,24_51_43_7_70_13_29_1_77,2.0,80_31,0.0,,0.0,,6.0,2_24_30_45_52_78,1.0,33,urc,pool stage,BULLS_SCARLETS_2022-03-18,57,12,45,924,909,27,26,27,25
2022-03-19,LIONS,MUNSTER,2.0,31_66,3.0,13_7_41,3.0,35_65_73,0.0,,2.0,32_67,3.0,8_14_42,urc,pool stage,LIONS_MUNSTER_2022-03-19,23,21,2,925,895,25,24,26,25
2022-03-19,SHARKS,ZEBRE,5.0,42_7_60_69_57,0.0,,1.0,26,2.0,30_41,5.0,8_44_58_61_70,0.0,,urc,pool stage,SHARKS_ZEBRE_2022-03-19,38,6,32,915,908,28,26,25,25
2022-03-19,TOULON,LA ROCHELLE,4.0,54_73_20_78,1.0,50,5.0,13_20_28_38_61,2.0,24_40,3.0,21_74_79,0.0,,top-14,pool stage,TOULON_LA ROCHELLE_2022-03-19,41,11,30,956,907,28,27,29,27
2022-03-20,TOULOUSE,MONTPELLIER,5.0,57_1_44_79_76,1.0,60,2.0,14_56,1.0,18,2.0,59_80,1.0,61,top-14,pool stage,TOULOUSE_MONTPELLIER_2022-03-20,35,10,25,961,914,25,26,26,26
2022-03-20,STORMERS,CARDIFF,5.0,63_38_32_16_60,0.0,,0.0,,1.0,7,5.0,17_40_61_64_68,0.0,,urc,pool stage,STORMERS_CARDIFF_2022-03-20,40,3,37,889,924,29,27,29,26
2022-03-25,MUNSTER,BENETTON,6.0,64_33_45_77_18_69,3.0,40_82_54,3.0,7_41_58,1.0,24,6.0,20_35_47_66_70_78,2.0,42_84,urc,pool stage,MUNSTER_BENETTON_2022-03-25,51,22,29,871,911,25,25,28,26
2022-03-25,LIONS,OSPREYS,7.0,42_37_54_70_10_76_67,2.0,49_63,0.0,,1.0,29,5.0,11_38_43_55_77,1.0,50,urc,pool stage,LIONS_OSPREYS_2022-03-25,45,15,30,897,908,26,24,28,26
2022-03-26,STORMERS,ULSTER,2.0,2_6,2.0,21_56,3.0,28_40_54,2.0,32_38,2.0,3_7,2.0,22_57,urc,pool stage,STORMERS_ULSTER_2022-03-26,23,20,3,922,920,28,26,29,27
